corps,titre,avis
"J'ai acheté ce collier pour des déguisements, la qualité est bonne et il est de bonne taille pour s'ajuster au cou sans étrangler ! Après si c'est pour un usage quotidien je pense qu'il y a un risque que le tissu s'effiloche;",Bonne qualité,positif
Jolie charm. ... Je vais mettre avec mon bracelet pandora.... On verra dans le temps. Si ça tiens bien,Reçu rapidement,positif
Pas de possibilité de régler la longueur appart en coupant et ancre se prenait dans des manteaux donc s’est « cassé » au bout de 5 jours,Non satisfaite,négatif
"Très jolie. Fermoir assez difficile à mettre car petit, un d'ailleurs dont le trou n'était pas du tout centré. Livré dans une jolie boîte.",Plutôt satisfaite,positif
"J'ai voulu acheter sa à ma femme. Mais quand le bijoux sorti de son"" petit sachet "" le miroir qui est censé projeter les écritures était fissuré Déçu.",Miroir brisé,négatif
Conforme à la description,Joli bijou,positif
"Ce bracelet est conforme à la description. Il est venu dans une belle boîte, enveloppé dans un sac de velours. Le bracelet est exquis dans l'exécution et de haute qualité. Cela répond très bien à mes attentes. Les petits diamants scintillent et révèlent le luxe de manière discrète. C'est bien d'acheter un si beau bracelet à ce prix. La texture de ce bracelet est très excellente. Je reviendrai la prochaine fois. Recommander.",Recommander.,positif
Correspond à la photo les bracelets ne sont pas trop gros et facile à porter,Bon produit,positif
"Belle chaîne mais super fragile, à cassé très vite",Produit décevant,négatif
J’ai commander 3 pendentifs différents et la livraison etais plus rapide que prevue. Le pendentif est magnifique et de bonne qualité. La gravure est superbe. Je le recommande. Merci au vendeur.,Genial,positif
très mauvaise qualité,pas pratique,négatif
"Achetées dans le cadre d'une offre promotionnelle intéressante, ces boucles sont jolies et du meilleur effet. Malheureusement un peu grandes pour les petites oreilles de souris de mon épouse, elles ont servi de cadeaux a une amie. Vérifiez bien la dimension avant de commander.",Promotion interessante,positif
"C'est un bracelet Onyx et non obsidienne œil céleste , il es très beau mais je suis très déçu , ce n'est pas ce que je voulais ...",Très déçu,négatif
"Magnifique boucles d'oreilles pendantes, ira très bien avec ma robe rouge. Reçu avant la date prévue, très bien emballé. En parfait état. Merci.",Boucle d'oreille argent et rouge.,positif
"Bonjour, nous sommes le 10 janvier 2019 et je n'ai toujours pas recu, ma chaine. CORDIALEMENT CHLOE",PAS RECU,négatif
"Produit parfaitement confort à la description, plutôt de bonne qualité au niveau du nylon des cordes et du fermoir. Par contre, je dois avoir les poignets trop fins car ce dernier bouge beaucoup autour de ma main et comme le fermoir est lourd par rapport au reste du bracelet, il se retrouve systématiquement sous mon poignet. Par conséquent, on ne voit que le nylon or la partie la plus sympa c'est quand même le fermoir et le jeu de couleur au niveau de ce dernier sur mon bracelet (avec du blanc et du rouge sur mon modèle). Bref, si l'on pouvait avoir un moyen de pouvoir adapter le diamètre du bracelet cela en ferait un objet parfait !",Très beau et peu pratique en utilisation,négatif
je n'ai toujours pas reçu le set de collier et boucles d'oreille .,commande toujours pas recu.,négatif
toujours pas reçu on verra plus tard..,pas reçu,négatif
je ne sais pas pour quelles raisons ? mais je n'ai jamais reçu mon anneaux ! et encore d'autres articles pourriez vous me rembourser ? que je puisse les recommander en les faisant livrer directement à mon domicile s'il vous plait? merci,je n'ai jamais reçu ce produit,négatif
déçu le fermoire de la chaîne et déjà cassé chaine pas solide pour le prix j aurai dû me douté,déçu,négatif
"qualitée médiocre, je l'ai retourné..",médiocre,négatif
"Superbe bracelet , très bon qualité prix . A voir dans le temps si il bouge pas plus les effets bénéfiques .",Très beau,positif
"les breloques ne sont pas aussi jolies qu'en photo, et la qualité n'est pas top, en ouvrant le sachet, l'une a déjà perdu un centre métal ça commence bien",mouais,négatif
"Ne m'est pas parvenu, problème de livraison, j'ai annulé la commande",Livraison deffectueuse,négatif
"Est arrivé avec des perles cassés. Inutilisable. Je trouve cela dommage, même si je ne l'ai pas payé cher. Les 2 fois où j'ai voulu mettre un commentaire, bizarrement ils n'ont jamais été validés. A voir cette fois-ci",Arrivé cassé,négatif
Nul..recu en tres mauvais etat..de la camelotte.d ailleur j attends tjrs le REMBOURSEMENT ..cela fait plus d un mois que l article a ete renvoye,Mauvaise qualite et toujours aucun remboursement,négatif
Très agréable à porter. Très durable,Belle,positif
Article non conforme à la description. J'ai reçu des boucles d'oreilles rondes en non pas ovales.....DECUE,Non conforme,négatif
Très joli mais cassé au bout de quelques jours,Déçue,négatif
Tres beau rendu le systeme de fermeture a l air assez solide a voir dans le temps si la matière resiste,Beau bracelet,positif
le bijou est plutôt correcte,bijoux,positif
"Pourtant le premier était parfait mais celui-ci est rayé, les traces de la machine sont présentes ayant donc laissé des points et lignes en plus des rayures la coupe très peu arrondie n'étant pas un réel soucis mais tout de même embêtante j'ai à ce jour envoyé un message au vendeur pour peut-être pouvoir en obtenir un nouveau dans quel cas je modifierais ce commentaire",Décevant..,négatif
"Ne produit l'effet escompté, plus joli sur la photo....",Ordinaire,négatif
Très jolie. Délai rapide,Très jolie,positif
"Très jolies, mais plus grandes que ce que je pensais.",Un peu grande,positif
"Ces boucles d’oreilles sont aussi belle que sur la photo, on ne se fait pas avoir avec les photos. Et ma copine en est très contente elle les trouve magnifique également.",Boucles d’oreilles magnifique,positif
CASSEE AUSSI A LA RECEPTION... VOUS VENDEZ DE PLUS EN PLUS DE CAMELOTTE ... DECUE DECUE...JE NE VOUS FELICITE PAS,DECUE,négatif
"Après mois ,on dirais un bijou vieux de 20 ans, l argent est devenu orange . Très moche et dessus, étant donné le prix je trouve honteux, mauvaise qualité.",Mauvaise qualité,négatif
J'ai aimé cette bague au niveau du motif et vu la photo je pensais quel étais moins grosse. Mais quand je l'ai reçu j'ai étais déçu le motif est beau mais la bague est trop grosse voyante c'est pour ça que j'aime pas et que je l'ai renvoyé.,belle bague,négatif
Commandé le 22 sept 19 livraison prévue le 18 oct et toujours rien reçu à ce jour le 28 oct malgré 3 mails envoyés au vendeur et aucune réponse ...j' ai demandé le remboursement et toujours rien.... à fuir,Vendeur imposteur à fuir,négatif
Non reçu le 14 avril alors qu'il devait être envoyé pour le 13 avril.Pourquoi?,Délais non respectés,négatif
Je n'ais pas recu le produit colis perdu,Je n'ais jamais reçu le produit,négatif
Couche d argent très fine s oxyde très vite avec la peau je ne recommande pas,Pas top,négatif
"article bien trop fragile, s'est cassé au bout de quelques jours.",trop fragile,négatif
Le fait que ce soit un porte-clé est une excellente idée. Le seul bémol reste la solidité à voir avec le temps.,Je l'ai offert et cela a bien plu,positif
J’ai bien reçu ma commande mais attention colis ouvert!!!!!!,Colis ouvert !!!,négatif
Tige trop épaisse qui a donc des difficultés à entrer dans le nez. Il est par conséquent gênant et douloureux. L'acier fait noir et le brillant ne brille pas donc poubelle.,décevant,négatif
"Je cherchais des ""cages"" pour porter différentes pierres, celles reçues sont jolies mais plus petites que les tailles annoncées je pense...Envoi rapide",élégant mais petits,positif
Très jolie bague Gothique très visible au doigt je l'ai choisie grande pour mettre au pouce ca fait style vraiment ravie,Anneau Gothique,positif
"Boucle d'oreilles qui cassent a la premières utilisations, pas solide du tout pour de l'argent, trés trés déçu",Trés mauvaise qualité,négatif
"Qualité médiocre, par rapport au prix.",Je ne le recommanderais pas,négatif
"Magnifique bracelet, très léger et surtout ne tourne pas grâce à sa forme légèrement ovoïde . Ayant de gros poignets j avais un peu peur pour la taille mais il va parfaitement .Je recommande",Magnifique,positif
La chaîne n’est pas belle et le pendentif pas top.,Déçu,négatif
"J’ai renvoyé l’article, il semble solide mais bien trop gros ! Peux peut-être convenir à des gros poignets...",Trop gros,négatif
"Il fait quincaille, tout petit, je n’aime pas du tout.",À éviter,négatif
Un peu déçue par rapport au rendu : les perles sont plus petites que ce qui est attendu dans ce type de bracelet. La couleur rend moins bien également,Perles un peu petites par rapport à l'attendu,négatif
Super. Taille adulte un peu grand pour une petite fille. Je recommande.,Super,positif
Très jolies bracelets qui ont fait plaisir à mon conjoint. Malheureusement l'élastique s’abîme pas mal avec le temps... il va me falloir défaire les bracelets pour changer le lien sinon je risque de tout perdre un jour ou l'autre.,Bien mais élastique faible,positif
L'élastique est distendu,mon avis,négatif
Le jour même le bracelet s'est défait tout seul !!!!! heureusement que j'étais à l'intérieur ......,bel objet mais.......,négatif
"Bracelet de mauvaise qualité, perd de son éclat et déteint au poignet après le 1er mois déjà même sans le mettre sous la douche, je ne recommande pas ce produit",Mauvaise qualité,négatif
acheté pour ma fille de 7 ans très jolie boîte à musique,très jolie,positif
"Payé et jamais reçu, 6 promesse de remboursement ou de livraison mais rien. Grosse arnaque...",Payé jamais livré,négatif
Bracelet naturel. Beaucoup plus léger que la photo.Mais toujours trop belle !! Je suis totalement charmé par ce bracelet !! Les couleurs sont si douces. Chaque perle est différente. Certains sont très translucides alors que d'autres sont solides. La taille de la perle est PARFAITE! J'espère que ça durera longtemps!,Bracelet naturel.,positif
ça fait quand même un peu pacotille et le bracelet se décolore vite et devient couleur cuivre,pacotille,négatif
Superbe bague qui a l air de bien vieillir ne rouille pas ne noircit pas... un reproche malgré tout elle a beau être réglable elle est très petite,Tres jolie,positif
"sympa ,agréable à porter,pour une fantaisie ,parfait",joli,positif
"Très bon produit, beau et design. Conforme à la description. Par ailleurs, mon conjoint a des petits poignets donc 21,5 cm c'est trop grand pour lui... L'idéal serait 19,5 cm sachant qu'il aime porter ça relativement serré (similaire à un poignet de fille je pense).",SUPER,positif
beau bracelet pour offrir à un anniversaire ou à Noël je suis satisfaite de cet achat et le conseille vivement,Très joli bracelet conforme au descriptif,positif
beau cadeau à petit prix,magifique,positif
Je l'ai reçu il n'y a pas tout à fait une semaine et j'attends un résultat mais pour l'instant aucun changement,Bracelet,positif
"Prix bas mais qualité de la perle médiocre , Cadeau pour une petite fille , mais pas adaptée pour une femme à la recherche de jolis perles .",Qualité médiocre,négatif
"Joli Charm imitation Pandora. Conforme à la photo. Toutefois, trop gros pour un bracelet Pandora, si vous l’utilisez avec les vrais pandora sur votre bracelet ça ne fera pas joli",Moyen,négatif
"Très mauvaise qualité. D'aspect ""déjà utilisé"", c'était prévu pour être offert. J'ai eu honte",Non conseillé,négatif
Bien que le collier soit très beau je l'ai reçu cassé C'est dommage,Trop fragile,négatif
